COD;SP;INFO_COL;LT;DI;PLM ;FTLM;FTWM;FTLM/FTWM;STLM;STWM;STLM/STWM;LLM
1;ARA;INFO;0;0;158;43;89;48;0;0;0;638
1;ARA;INFO;0;0;293;53;86;62;42;84;50;1189
1;ARA;INFO;0;0;204;68;88;77;45;117;38;1085
1;ARA;INFO;53;3433;172;44;45;98;48;67;72;816
1;ARA;INFO;16;667;236;85;117;73;74;99;75;1005
1;ARA;INFO;0;0;206;39;101;39;41;84;49;1024
1;ARA;INFO;0;0;132;38;93;41;34;89;38;1273
2;DEN;INFO;29;7433;138;104;96;108;173;103;168;3927
2;DEN;INFO;33;4500;44;72;97;74;86;99;87;3240
2;DEN;INFO;25;4200;0;49;56;88;85;67;127;2637
2;DEN;INFO;30;3300;0;60;60;100;111;98;113;3261
2;DEN;INFO;28;3633;27;52;133;39;71;102;70;4193
2;DEN;INFO;33;6100;71;98;103;95;56;94;60;3580
2;DEN;INFO;37;7733;46;76;138;55;111;137;81;2993
2;DEN;INFO;45;6533;0;64;78;82;101;117;86;2813
2;DEN;INFO;38;5000;0;87;79;110;60;84;71;2732
2;DEN;INFO;29;8267;0;34;72;47;53;90;59;2705
2;DEN;INFO;27;6000;0;49;51;96;74;87;85;2319
2;DEN;INFO;38;6233;20;53;113;47;86;114;75;3724
3;AUS;INFO;40;8100;0;247;84;295;305;129;237;2477
3;AUS;INFO;27;4933;0;102;90;114;223;151;148;2464
3;AUS;INFO;19;9233;43;57;71;81;72;67;107;2249
3;AUS;INFO;25;8300;0;729;138;530;373;147;254;2639
3;AUS;INFO;36;9233;0;467;93;504;464;145;319;2797
4;JCQ;INFO;48;6233;0;540;90;600;641;110;583;1074
4;JCQ;INFO;43;4600;0;878;64;1372;1023;100;1023;1732
4;JCQ;INFO;42;3167;0;1288;66;1952;1284;92;1396;1724
4;JCQ;INFO;46;4200;97;1389;231;601;1351;118;1145;2519
4;JCQ;INFO;65;2500;0;1533;160;958;1372;173;793;2505
4;JCQ;INFO;40;5033;38;1056;68;1553;958;97;988;2117
4;JCQ;INFO;15;2367;0;885;39;2269;1076;49;2196;1595
4;JCQ;INFO;57;3500;0;825;92;897;1218;149;817;1943
4;JCQ;INFO;84;4750;0;717;66;1086;930;82;1134;1437
4;JCQ;INFO;43;5050;0;890;123;724;1064;157;678;2169
4;JCQ;INFO;42;3667;0;974;77;1265;1074;114;942;1567
4;JCQ;INFO;29;4200;0;585;79;741;865;114;759;1569
4;JCQ;INFO;47;4233;0;868;137;634;1080;200;540;2055
4;JCQ;INFO;35;4433;0;797;88;906;1156;82;1410;1928
4;JCQ;INFO;40;4567;0;1005;107;939;1015;120;846;1900
4;JCQ;INFO;43;4533;0;746;77;969;792;112;707;1537
4;JCQ;INFO;30;6533;0;522;239;218;537;172;312;3107
4;JCQ;INFO;32;4600;45;635;155;410;583;231;252;1900
4;JCQ;INFO;31;4867;19;537;79;648;691;88;785;1316
